"Item ID","Item Type Name","Icon Path","Perk1","Perk2","Perk3","Perk4"
"Artifact_Set1_HeavyHead","Heavy Headwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavyhelmet3_head.webp","PerkID_Artifact_Set1_HeavyHead","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Head_OnCritTaken_CritChance","PerkID_Fixed_Armor_DodgeSuccess_Fortify"
"Artifact_Set1_HeavyChest","Heavy Chestwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavychest6_chest.webp","PerkID_Artifact_Set1_HeavyChest","PerkID_Gem_EmptyGemSlot","PerkID_Slottable_Common_DefBasic","PerkID_Slottable_Common_RangeDefense_Physical"
"Artifact_Set1_HeavyHands","Heavy Glove","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavyforearms1_gloves.webp","PerkID_Artifact_Set1_HeavyHands","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Hands_OnAtkBlocked_IncStamDmg","PerkID_Slottable_Common_RangeDefense_Physical"
"Artifact_Set1_HeavyLegs","Heavy Legwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarymediumthighs3_legs.webp","PerkID_Artifact_Set1_HeavyLegs","PerkID_Gem_EmptyGemSlot","PerkID_Slottable_Common_DurCC","PerkID_Slottable_Common_DefBasic"
"Artifact_Set1_HeavyFeet","Heavy Footwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavycalves2_feet.webp","PerkID_Artifact_Set1_HeavyFeet","PerkID_Gem_EmptyGemSlot","PerkID_Slottable_Common_DefGrit","PerkID_Slottable_Common_RangeDefense_Physical"
"Artifact_Set1_MediumHead","Medium Headwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_harbingermediumsmile_head.webp","PerkID_Artifact_Set1_MediumHead","PerkID_Gem_EmptyGemSlot","PerkID_Slottable_Common_DurDot","PerkID_Slottable_Common_DurDebuff"
"Artifact_Set1_MediumChest","Medium Chestwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_wraithhunterlightnailst3_chest.webp","PerkID_Artifact_Set1_MediumChest","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Chest_HealthStam_Synergy","PerkID_Fixed_Armor_LifestealNoConsumable"
"Artifact_Set1_MediumHands","Medium Glove","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendaryheavyforearms2_gloves.webp","PerkID_Artifact_Set1_MediumHands","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Hands_OnAtkBlocked_IncStamDmg","PerkID_Slottable_Common_RangeDefense_Elemental"
"Artifact_Set1_MediumLegs","Medium Legwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarymediumthighs1_legs.webp","PerkID_Artifact_Set1_MediumLegs","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Legs_DodgeSuccess_Stamina","PerkID_Slottable_Common_RangeDefense_Elemental"
"Artifact_Set1_MediumFeet","Medium Footwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarymediumcalves1_feet.webp","PerkID_Artifact_Set1_MediumFeet","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Feet_HasteOnVault","PerkID_Slottable_Common_DurCC"
"Artifact_Set1_LightHead","Light Headwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/cloth_setb_hat_t4.webp","PerkID_Artifact_Set1_LightHead","PerkID_Gem_EmptyGemSlot","PerkID_Slottable_Common_DmgBasic","PerkID_Fixed_Armor_DodgeSuccess_Fortify"
"Artifact_Set1_LightChest","Light Chestwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_legendarylightchest2_chest.webp","PerkID_Artifact_Set1_LightChest","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Armor_DamageTradeOff","PerkID_Fixed_Chest_HealthStam_Synergy"
"Artifact_Set1_LightHands","Light Glove","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_nagacorruptedmedium_hands.webp","PerkID_Artifact_Set1_LightHands","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Armor_PvP_ReflectDmg","PerkID_Slottable_Common_DurCC"
"Artifact_Set1_LightLegs","Light Legwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_nagacorruptedmedium_legs.webp","PerkID_Artifact_Set1_LightLegs","PerkID_Gem_EmptyGemSlot","PerkID_Slottable_Common_DefBasic","PerkID_Fixed_Legs_DodgeSuccess_Stamina"
"Artifact_Set1_LightFeet","Light Footwear","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/armor/m_hexencirce_feet.webp","PerkID_Artifact_Set1_LightFeet","PerkID_Gem_EmptyGemSlot","PerkID_Fixed_Legs_DodgeSuccess_Stamina","PerkID_Slottable_Common_RangeDefense_Physical"
"Artifact_Set1_1hLongsword","Sword","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/1hswords3artifacts.webp","PerkID_Artifact_Set1_Sword","PerkID_Artifact_Set1_SwordPerk","PerkID_WeaponMastery_Sword_WhirlingBlade","PerkID_Slottable_Common_BleedonCrit"
"Artifact_Set1_1hThrowingAxe","Hatchet","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/1hhatchets3artifacts.webp","PerkID_Artifact_Set1_Hatchet","PerkID_Gem_EmptyGemSlot","PerkID_WeaponMastery_Hatchet_Rending_Throw","PerkID_Fixed_Weapon_RendingStacks"
"Artifact_Set1_2hWarhammer","War Hammer","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hwarhammers3artifacts.webp","PerkID_Artifact_Set1_Warhammer","PerkID_Artifact_Set1_WarhammerPerk","PerkID_WeaponMastery_Hammer_MightyGavel","PerkID_Fixed_Weapon_Attunement_Lightning"
"Artifact_Set1_2hGreatAxe","Great Axe","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hgreataxes3artifacts.webp","PerkID_Artifact_Set1_Greataxe","PerkID_Artifact_Set1_GreatAxePerk","PerkID_Fixed_Weapon_Attunement_Void","PerkID_Fixed_Weapon_DmgWithGrit"
"Artifact_Set1_2hBow","Bow","https://cdn.nw-buddy.de/nw-data/live/lyshineui/images/icons/items/weapon/2hbows3artifacts.webp","PerkID_Artifact_Set1_Bow","PerkID_Artifact_Set1_BowPerk","PerkID_Fixed_Weapon_DodgeSuccess_LightningDMG","PerkID_Slottable_Common_DmgBasic"
